ManuscriptID,Journal,Date,Study-Type,Model-Type,Prediction-Type,1,2,3a,3b,4a,4b,5a,5b,5c,6a,6b,7a,7b,8,9,10a,10b,10c,10d,10e,11,12,13a,13b,13c,14a,14b,15a,15b,16,18,19a,19b,20,21,22
1,1,Aug-21,1,LR,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,1,0,0,0,N/A,1,N/A,N/A,N/A,0,0,N/A,1,N/A,0,0,1,1,N/A,1,1,1,0
2,1,Jul-21,1,DNN,1,0,0,0,1,0,0,0,0,N/A,0,N/A,0,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,N/A,1,N/A,0,0,0,0,N/A,1,1,1,0
3,1,Jul-21,4,LR,1,0,0,0,1,0,0,0,1,N/A,0,N/A,1,N/A,0,0,0,0,0,0,N/A,N/A,0,1,0,0,1,N/A,0,0,0,1,1,1,1,1,1
4,1,Jul-21,1,LR,1,0,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,1,1,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,0,N/A,0,0,0,1,N/A,1,1,1,0
5,1,Jun-21,1,SVM,1,0,0,0,0,1,0,1,0,N/A,0,N/A,0,N/A,1,1,0,0,N/A,0,N/A,N/A,N/A,0,0,N/A,0,N/A,0,0,0,1,N/A,1,1,0,0
6,1,Jun-21,1,LR,1,0,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,1,0,0,0,N/A,1,N/A,N/A,N/A,1,0,N/A,0,N/A,0,1,0,1,N/A,1,0,0,0
7,1,May-21,1,Multilogistic and Multinomial LR,2,0,0,1,1,1,1,1,1,N/A,1,N/A,1,N/A,1,1,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,0,N/A,0,1,1,1,N/A,1,1,1,0
8,1,Apr-21,1,LR,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,0,N/A,0,0,0,1,N/A,1,1,0,0
9,1,Mar-21,4,Lasso,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,0,0,0,0,0,0,N/A,N/A,0,1,0,1,1,N/A,0,0,0,1,1,1,1,1,0
10,1,Feb-21,3,LR,2,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0
11,1,Feb-21,1,Elastic net algorithm (regularized generalized linear model),2,0,0,0,1,1,1,1,0,N/A,1,N/A,0,N/A,1,1,1,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,0,1,N/A,1,1,1,0
12,1,Dec-20,3,LR,2,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1
13,1,Dec-20,1,XGB,2,0,0,1,1,1,1,1,1,N/A,1,N/A,1,N/A,0,0,0,0,N/A,1,N/A,N/A,N/A,1,1,N/A,0,N/A,0,0,0,1,N/A,1,1,1,0
14,1,Dec-20,1,LDA,2,0,0,0,1,1,0,1,0,N/A,0,N/A,0,N/A,1,0,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,1,1,N/A,1,0,1,0
15,1,Nov-20,1,Cox,2,0,0,0,1,1,1,0,1,N/A,1,N/A,1,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,0,1,N/A,1,1,1,0
16,1,Oct-20,1,Cox,2,0,0,1,1,1,1,1,1,N/A,1,N/A,0,N/A,0,0,1,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,0,0,1,N/A,1,0,1,0
17,1,Oct-20,4,Bayesian network supervised learning,2,1,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,0,0,0,0,1,1,N/A,N/A,1,1,0,1,1,N/A,0,1,1,1,0,1,1,1,0
18,1,Oct-20,4,NLP,1,0,0,0,1,1,1,1,0,N/A,0,N/A,0,N/A,0,0,0,0,0,0,N/A,N/A,0,1,0,1,1,N/A,0,0,0,1,1,1,1,0,0
19,1,Sep-20,1,RF,2,0,0,0,0,1,1,1,1,N/A,0,N/A,0,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,1,1,N/A,0,N/A,0,1,0,1,N/A,1,1,1,0
20,1,Sep-20,2,DNN,1,0,0,0,0,1,1,1,0,N/A,1,N/A,0,N/A,1,0,N/A,N/A,0,0,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,0,1,0,1,1,0,0
21,1,Aug-20,4,Cox,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,1,0,1,0,1,1,N/A,N/A,1,0,0,1,1,N/A,0,0,1,1,1,1,1,1,0
22,1,Jul-20,4,LR,1,0,0,1,1,1,1,1,0,N/A,0,N/A,0,N/A,0,0,0,0,1,1,N/A,N/A,1,1,0,1,1,N/A,1,0,1,1,1,1,1,1,0
23,1,Dec-19,1,LR,2,1,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,1,0,1,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,0,1,N/A,1,1,0,0
24,1,Dec-19,1,LR,2,1,0,1,1,1,1,1,1,N/A,1,N/A,1,N/A,1,1,1,1,N/A,1,N/A,N/A,N/A,0,0,N/A,1,N/A,0,0,1,0,N/A,1,1,1,0
25,1,Nov-19,1,LR,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,1,0,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,1,1,0,1,N/A,1,1,1,0
26,1,Nov-19,1,Cox,2,0,0,1,1,1,1,1,0,N/A,1,N/A,0,N/A,1,1,0,0,N/A,0,N/A,N/A,N/A,1,1,N/A,1,N/A,0,0,0,1,N/A,1,1,0,0
27,1,Nov-19,1,LR,2,0,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,0,0,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,1,1,N/A,1,1,1,1
28,1,Sep-19,1,LR,2,1,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,1,0,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,0,0,1,N/A,1,0,0,0
29,1,Sep-19,1,DNN,1,0,0,0,1,0,1,1,1,N/A,0,N/A,0,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,0,N/A,0,0,0,1,N/A,1,1,0,0
30,1,Sep-19,1,LR,2,0,1,0,1,1,1,1,1,N/A,1,N/A,0,N/A,1,1,0,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,0,1,N/A,1,1,1,1
31,1,Jul-19,4,LR,1,0,0,0,1,1,1,1,1,N/A,1,N/A,1,N/A,1,1,1,0,0,0,N/A,N/A,0,1,1,1,0,N/A,0,0,0,1,1,1,1,1,0
32,1,Jul-19,1,LR,2,0,0,0,1,0,1,1,0,N/A,1,N/A,0,N/A,1,0,1,0,N/A,0,N/A,N/A,N/A,0,0,N/A,1,N/A,0,1,0,1,N/A,1,1,0,0
33,1,Jun-19,2,LR,2,1,0,1,1,1,1,1,1,N/A,1,N/A,0,N/A,1,0,N/A,N/A,0,0,N/A,N/A,0,1,0,0,N/A,N/A,N/A,N/A,0,1,1,1,1,1,0
34,1,May-19,4,LR,2,0,0,1,1,1,1,1,0,N/A,0,N/A,0,N/A,0,1,1,0,0,1,N/A,N/A,0,1,0,1,0,N/A,0,1,1,1,1,1,1,1,0
35,1,Apr-19,1,GAM,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,1,0,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,0,N/A,0,0,1,1,N/A,1,1,1,0
36,1,Feb-19,4,LR,1,0,0,0,1,1,1,1,0,N/A,0,N/A,0,N/A,0,0,0,0,0,0,N/A,N/A,0,1,0,1,1,N/A,0,0,0,1,1,1,0,1,0
37,1,Jan-19,4,Cox,2,0,0,1,1,0,1,1,1,N/A,1,N/A,0,N/A,0,0,1,0,1,0,N/A,N/A,0,1,0,0,1,N/A,0,0,0,1,0,1,1,1,0
38,1,Oct-18,4,OCT decision tree,2,1,0,1,1,1,1,1,1,N/A,1,N/A,0,N/A,0,0,0,0,0,0,N/A,N/A,0,1,0,0,0,N/A,0,1,0,1,1,1,0,0,0
39,1,Aug-18,4,Cox,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,1,1,0,0,0,0,N/A,N/A,1,1,0,1,1,N/A,0,0,0,1,1,1,0,1,0
40,1,Aug-18,2,LR and Decision Tree,1,1,0,1,1,1,1,1,1,N/A,1,N/A,0,N/A,1,0,N/A,N/A,1,1,N/A,N/A,0,1,1,0,N/A,N/A,N/A,N/A,0,1,1,1,1,1,0
41,1,Jun-18,1,LR,2,0,0,0,1,1,1,1,0,N/A,1,N/A,0,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,0,0,1,N/A,1,1,0,0
42,1,Jun-18,1,Cox,2,0,1,0,1,1,1,1,1,N/A,1,N/A,0,N/A,1,0,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,1,1,N/A,1,1,0,0
43,1,Apr-18,1,LR,2,1,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,0,0,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,0,N/A,0,1,1,1,N/A,1,1,0,0
44,1,Mar-18,4,Lasso Cox,2,0,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,1,0,0,0,0,1,N/A,N/A,0,0,0,1,1,N/A,0,0,1,1,0,1,1,1,0
45,1,Mar-18,1,LR and Cox,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,1,0,1,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,0,0,1,N/A,1,1,1,0
46,1,Feb-18,1,LR,1,0,0,0,0,1,1,1,1,N/A,1,N/A,1,N/A,0,0,1,0,N/A,0,N/A,N/A,N/A,0,0,N/A,1,N/A,0,0,0,1,N/A,1,1,0,0
47,1,Feb-18,4,Cox,2,0,0,0,1,1,1,1,0,N/A,0,N/A,0,N/A,1,0,0,0,0,0,N/A,N/A,0,0,0,1,1,N/A,0,0,0,1,0,1,1,1,0
48,1,Jan-18,4,LR,2,1,0,1,1,1,1,1,1,N/A,0,N/A,1,N/A,0,0,1,0,0,1,N/A,N/A,0,1,0,0,1,N/A,0,1,0,1,1,1,1,0,0
49,1,Apr-20,1,LR and Cox,2,0,0,0,0,1,1,1,1,N/A,1,N/A,1,N/A,0,0,1,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,0,0,1,N/A,1,1,1,0
50,2,Sep-21,1,LR,2,0,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,0,0,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,0,N/A,0,1,1,1,N/A,1,1,1,1
51,2,Dec-20,4,LR,2,1,0,1,1,1,1,1,1,N/A,1,N/A,1,N/A,1,0,0,0,1,1,N/A,N/A,0,1,1,1,1,N/A,0,1,0,1,0,1,1,1,1
52,2,Nov-19,1,Logic Forest and LR,2,0,0,0,0,1,1,0,1,N/A,0,N/A,0,N/A,0,0,1,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,0,0,1,N/A,1,1,1,0
53,2,May-19,4,Bivariable binary logistic regression,2,1,0,1,1,1,1,1,1,N/A,1,N/A,0,N/A,0,1,0,0,0,1,N/A,N/A,0,0,0,1,1,N/A,1,0,1,1,1,1,1,1,0
54,2,May-18,1,Cox,2,0,0,1,1,1,1,1,1,N/A,1,N/A,0,N/A,0,0,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,0,N/A,0,1,1,1,N/A,1,1,1,0
55,2,Jul-18,1,Binary LR,2,1,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,0,1,0,0,N/A,1,N/A,N/A,N/A,1,0,N/A,0,N/A,0,1,1,1,N/A,1,1,1,1
56,2,Dec-18,4,LR,2,1,0,0,1,1,1,1,1,N/A,0,N/A,1,N/A,1,1,0,0,0,0,N/A,N/A,0,1,0,0,1,N/A,0,0,0,1,0,1,1,1,1
57,2,Sep-18,1,Ensemble (elastic net and SVM),1,0,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,1,0,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,0,0,1,N/A,1,1,1,1
58,2,Mar-19,4,LR,1,0,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,1,0,0,0,0,1,N/A,N/A,1,1,0,1,1,N/A,0,0,1,1,1,1,1,1,1
59,2,Apr-19,1,LR,1,0,0,0,1,1,1,1,1,N/A,0,N/A,1,N/A,1,0,1,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,1,0,0,1,N/A,1,1,1,1
60,2,Apr-19,1,LR,2,0,1,0,1,1,1,1,1,N/A,1,N/A,1,N/A,1,0,0,1,N/A,1,N/A,N/A,N/A,1,0,N/A,0,N/A,0,1,1,1,N/A,1,1,1,1
61,2,Jun-19,1,LR,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,1,0,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,0,N/A,0,1,0,1,N/A,1,1,1,1
62,2,Sep-20,4,LR,2,0,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,1,0,0,0,0,1,N/A,N/A,0,1,0,1,1,N/A,0,1,1,1,0,1,0,1,0
63,2,Feb-21,4,XGB,2,0,0,1,1,1,1,1,1,N/A,1,N/A,0,N/A,1,0,1,0,0,0,N/A,N/A,0,1,0,0,0,N/A,0,1,0,1,0,1,1,1,1
64,2,Jun-21,2,Cox,2,0,0,1,1,1,1,1,0,N/A,0,N/A,0,N/A,0,1,N/A,N/A,1,0,N/A,N/A,1,1,0,1,N/A,N/A,N/A,N/A,0,1,1,1,0,1,0
65,3,Jun-21,1,LR,2,0,0,0,0,1,1,1,1,N/A,0,N/A,0,N/A,1,0,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,1,1,N/A,1,0,1,0
66,3,Jun-21,4,Lasso LR and PC-Simple algorithm,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,1,0,0,0,0,1,N/A,N/A,0,1,0,1,1,N/A,1,0,1,1,1,1,1,1,0
67,3,Jun-21,2,OCT decision tree,2,0,0,1,1,1,1,0,0,N/A,1,N/A,1,N/A,1,0,N/A,N/A,0,0,N/A,N/A,0,1,0,0,N/A,N/A,N/A,N/A,0,1,0,1,1,1,0
68,3,Jan-21,1,"XGB, RF, LR",2,0,0,1,1,1,1,0,1,N/A,1,N/A,0,N/A,1,0,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,0,0,1,N/A,1,1,1,0
69,3,Dec-20,2,"Random intercept, fixed slopes hierarchical model",2,0,1,1,1,1,1,1,0,N/A,0,N/A,0,N/A,1,0,N/A,N/A,1,0,N/A,N/A,0,1,0,0,N/A,N/A,N/A,N/A,0,1,1,1,1,0,0
70,3,May-20,1,Neural network YOLOv3,1,0,0,0,1,1,1,0,0,N/A,1,N/A,1,N/A,1,1,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,0,1,N/A,1,1,1,0
71,3,Apr-20,1,Bivariate and multivariable Cox,2,1,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,0,1,1,0,N/A,0,N/A,N/A,N/A,1,1,N/A,1,N/A,0,1,0,1,N/A,1,1,1,0
72,3,Apr-20,1,Multivariate generalized esimated equation (GEE) model,2,1,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,1,0,1,0,N/A,0,N/A,N/A,N/A,0,0,N/A,1,N/A,0,1,0,1,N/A,1,1,1,0
73,3,Apr-20,2,LR,2,0,0,1,1,1,1,0,1,N/A,0,N/A,0,N/A,1,1,N/A,N/A,1,0,N/A,N/A,0,1,0,0,N/A,N/A,N/A,N/A,0,1,1,1,0,0,0
74,3,Jan-20,1,LR,2,0,1,1,1,1,1,0,0,N/A,0,N/A,0,N/A,0,0,1,0,N/A,1,N/A,N/A,N/A,1,1,N/A,1,N/A,1,0,0,1,N/A,1,0,1,0
75,3,Jan-20,1,Stochastic hill-climbing and LR,2,0,0,1,1,1,1,0,1,N/A,0,N/A,0,N/A,1,0,0,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,0,0,1,1,N/A,1,1,1,0
76,3,Jan-20,3,Hierarchical random effect models,2,1,0,1,1,1,1,1,1,N/A,0,1,1,0,1,1,0,0,0,1,0,N/A,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1
77,3,Oct-19,1,"Linear regression, XGB, RF",2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,1,1,0,0,N/A,0,N/A,N/A,N/A,0,0,N/A,0,N/A,0,0,0,1,N/A,1,1,1,0
78,3,Oct-19,1,LR,2,1,0,0,1,1,1,1,1,N/A,1,N/A,1,N/A,1,1,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,0,0,0,1,N/A,1,1,1,0
79,3,Sep-19,1,"LR, Cox, quasi-Poisson generalized linear regression",2,0,0,0,1,1,1,1,1,N/A,1,N/A,1,N/A,1,0,0,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,0,0,0,1,N/A,1,1,0,0
80,3,May-19,1,SVM and LR,2,0,0,0,1,1,0,1,0,N/A,0,N/A,1,N/A,1,0,1,0,N/A,0,N/A,N/A,N/A,0,0,N/A,1,N/A,0,1,0,1,N/A,1,1,0,0
81,3,Mar-19,1,RF,2,0,0,0,1,1,1,1,0,N/A,0,N/A,0,N/A,1,1,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,0,N/A,0,0,0,1,N/A,1,1,0,0
82,3,Aug-18,4,LR,1,0,0,0,1,1,1,1,0,N/A,0,N/A,1,N/A,0,1,0,0,0,1,N/A,N/A,0,0,0,0,1,N/A,0,1,1,1,1,1,1,1,0
83,3,Jun-18,3,LR,2,1,0,1,1,1,0,1,1,N/A,0,1,0,1,0,0,0,0,0,1,1,N/A,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0
84,3,Jun-18,1,Cox and log-logistic survival model,2,0,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,1,0,1,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,0,1,N/A,1,1,0,0
85,3,Apr-18,1,Cox,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,0,0,1,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,0,1,N/A,1,1,0,0
86,3,Mar-18,2,Cox,2,1,0,1,1,1,1,1,0,N/A,0,N/A,0,N/A,1,1,N/A,N/A,1,0,N/A,N/A,0,1,0,1,N/A,N/A,N/A,N/A,0,1,0,1,1,0,0
87,4,Aug-21,4,Cox,2,1,0,1,1,1,0,1,1,N/A,0,N/A,1,N/A,0,1,0,0,0,1,N/A,N/A,0,1,0,0,1,N/A,0,1,0,1,0,1,0,1,0
88,4,Aug-21,4,LR,1,1,0,1,1,1,1,0,1,N/A,1,N/A,1,N/A,1,1,1,0,1,1,N/A,N/A,1,1,0,1,1,N/A,0,1,1,1,0,1,1,1,1
89,4,Aug-21,1,Lasso,2,0,0,0,1,1,1,1,1,N/A,1,N/A,1,N/A,0,0,0,0,N/A,1,N/A,N/A,N/A,1,1,N/A,1,N/A,0,1,1,1,N/A,1,1,1,0
90,4,May-21,4,DL,1,1,0,1,1,1,1,1,1,N/A,0,N/A,1,N/A,0,0,1,0,1,1,N/A,N/A,1,0,0,1,1,N/A,0,1,0,1,0,1,1,1,0
91,4,Apr-21,1,LR,2,1,1,0,1,1,1,0,1,N/A,1,N/A,0,N/A,0,0,0,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,1,1,1,1,N/A,1,1,1,0
92,4,Apr-21,1,Decision Tree,2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,0,1,N/A,1,0,1,1
93,4,Dec-20,4,Cox,2,0,0,0,0,1,1,1,1,N/A,0,N/A,0,N/A,0,0,1,0,0,1,N/A,N/A,0,1,0,0,1,N/A,0,1,1,1,0,1,0,1,0
94,4,Nov-20,4,RP restricted cubic spline model,2,0,0,0,1,1,1,0,0,N/A,0,N/A,0,N/A,0,1,0,0,0,1,N/A,N/A,0,0,0,1,1,N/A,0,0,0,1,0,1,1,1,0
95,4,Jul-20,1,"Cox, Lasso",2,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,0,0,0,0,N/A,1,N/A,N/A,N/A,1,1,N/A,1,N/A,0,1,1,1,N/A,1,1,1,0
96,4,Jul-20,4,"ELR, RF, XGB",2,0,0,1,1,1,1,1,1,N/A,0,N/A,1,N/A,0,0,1,0,0,1,N/A,N/A,0,1,0,0,1,N/A,0,1,1,1,1,1,1,1,0
97,4,Jul-20,1,"LR, Superlearner",1,0,0,0,1,1,1,1,1,N/A,1,N/A,0,N/A,0,0,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,0,N/A,0,0,1,1,N/A,1,1,1,0
98,4,Jun-20,4,Cox,2,0,0,0,1,1,0,1,1,N/A,0,N/A,0,N/A,0,0,1,0,0,0,N/A,N/A,1,1,0,1,1,N/A,1,1,0,1,0,1,1,1,0
99,4,Jun-20,4,Cox,2,0,0,1,1,1,1,1,1,N/A,0,N/A,0,N/A,0,0,1,0,0,0,N/A,N/A,0,1,0,0,1,N/A,0,0,0,1,1,1,0,1,0
100,4,May-20,1,Lasso,2,0,0,0,1,1,1,1,0,N/A,1,N/A,0,N/A,0,0,0,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,0,0,1,1,N/A,1,0,0,0
101,4,Mar-20,2,LR,2,1,0,1,1,1,1,1,1,N/A,0,N/A,1,N/A,0,0,N/A,N/A,0,1,N/A,N/A,1,0,1,0,N/A,N/A,N/A,N/A,1,1,1,1,0,1,0
102,4,Mar-20,2,Various,2,0,0,1,1,1,1,1,1,N/A,0,N/A,0,N/A,0,0,N/A,N/A,1,1,N/A,N/A,0,1,0,0,N/A,N/A,N/A,N/A,1,1,1,1,1,1,0
103,4,Jan-20,1,LR,2,0,0,0,1,1,1,1,1,N/A,1,N/A,1,N/A,0,1,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,1,1,1,1,N/A,1,1,1,0
104,4,Jan-20,2,Various,1,1,0,1,1,1,1,0,1,N/A,0,N/A,0,N/A,0,1,N/A,N/A,1,1,N/A,N/A,0,1,0,0,N/A,N/A,N/A,N/A,1,1,1,1,1,1,0
105,4,Nov-19,4,LR,2,0,1,0,1,1,1,1,1,N/A,1,N/A,0,N/A,0,0,0,1,1,1,N/A,N/A,1,1,0,1,1,N/A,0,1,1,1,1,1,1,0,0
106,4,Oct-19,3,Lasso,2,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1
107,4,Sep-19,3,Cox,2,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1
108,4,Aug-19,4,Cox,2,1,0,1,1,1,0,1,1,N/A,0,N/A,0,N/A,0,0,1,0,0,0,N/A,N/A,1,1,0,1,1,N/A,0,1,0,1,0,1,1,1,0
109,4,May-19,1,Linear regression,2,0,0,0,1,1,1,1,1,N/A,1,N/A,1,N/A,1,1,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,0,0,1,N/A,1,1,1,0
110,4,Feb-19,1,Cox,2,1,0,0,1,1,1,1,0,N/A,1,N/A,0,N/A,1,0,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,1,1,1,1,N/A,1,1,1,0
111,4,Dec-18,1,LR,2,0,0,0,1,1,1,1,1,N/A,1,N/A,1,N/A,0,1,1,0,N/A,1,N/A,N/A,N/A,1,1,N/A,1,N/A,0,1,1,1,N/A,1,0,1,0
112,4,Oct-18,1,LR,1,0,0,0,1,1,1,1,1,N/A,0,N/A,0,N/A,0,0,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,1,1,N/A,1,1,1,0
113,4,Sep-18,4,Cox,2,0,0,0,1,1,1,0,1,N/A,1,N/A,0,N/A,1,0,0,0,0,1,N/A,N/A,0,1,0,1,1,N/A,1,1,1,1,1,1,1,1,0
114,4,Aug-18,1,LR,2,0,0,0,1,1,1,0,1,N/A,0,N/A,0,N/A,0,0,1,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,0,1,N/A,1,0,1,0
115,4,Aug-18,1,Cox,2,1,0,0,1,1,1,1,1,N/A,1,N/A,1,N/A,1,1,1,0,N/A,1,N/A,N/A,N/A,1,1,N/A,1,N/A,1,1,1,1,N/A,1,1,1,0
116,4,Aug-18,4,LR,2,0,0,0,1,1,0,0,0,N/A,1,N/A,0,N/A,0,0,1,0,0,1,N/A,N/A,1,1,0,1,1,N/A,1,1,1,1,1,1,0,1,0
117,4,Aug-18,4,Cox,2,0,1,1,1,1,1,1,1,N/A,1,N/A,1,N/A,1,0,0,0,1,1,N/A,N/A,1,1,0,1,1,N/A,1,1,1,1,1,1,1,1,1
118,4,Apr-18,4,LR,2,0,0,1,1,1,1,1,1,N/A,0,N/A,0,N/A,1,1,0,0,N/A,1,N/A,N/A,N/A,1,1,N/A,1,N/A,0,0,1,1,N/A,1,0,1,0
119,4,Jan-18,1,LR,2,0,0,1,1,1,1,1,1,N/A,1,N/A,0,N/A,1,1,1,0,N/A,1,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,1,1,N/A,1,1,1,1
120,4,Jan-18,1,LR,2,0,0,0,1,0,1,0,1,N/A,0,N/A,1,N/A,1,0,0,0,N/A,0,N/A,N/A,N/A,1,0,N/A,1,N/A,0,1,0,1,N/A,1,0,1,0